id	yearBCAD
CGG_2_107583.SG	1088
CGG_2_107583.SG	858
CGG_2_107583.SG	773
CGG_2_107735.SG	310
CGG_2_107735.SG	220
CGG_2_107735.SG	209
CGG_2_107736.SG	311
CGG_2_107736.SG	300
CGG_2_107736.SG	276
CGG_2_107738.SG	-43
CGG_2_107738.SG	235
CGG_2_107738.SG	298
CGG_2_107739.SG	221
CGG_2_107739.SG	157
CGG_2_107739.SG	99
CGG_2_107741.SG	155
CGG_2_107741.SG	182
CGG_2_107741.SG	211
CGG_2_107742.SG	272
CGG_2_107742.SG	207
CGG_2_107742.SG	273
CGG_2_107744.SG	370
CGG_2_107744.SG	276
CGG_2_107744.SG	346
CGG_2_107745.SG	404
CGG_2_107745.SG	370
CGG_2_107745.SG	185
CGG_2_107746.SG	170
CGG_2_107746.SG	220
CGG_2_107746.SG	188
CGG_2_107747.SG	245
CGG_2_107747.SG	372
CGG_2_107747.SG	265
CGG_2_107748.SG	132
CGG_2_107748.SG	146
CGG_2_107748.SG	233
CGG_2_107749.SG	-55
CGG_2_107749.SG	117
CGG_2_107749.SG	-100
CGG_2_107750.SG	322
CGG_2_107750.SG	77
CGG_2_107750.SG	254
CGG_2_107751.SG	367
CGG_2_107751.SG	214
CGG_2_107751.SG	246
CGG_2_107752.SG	146
CGG_2_107752.SG	373
CGG_2_107752.SG	230
CGG_2_107753.SG	267
CGG_2_107753.SG	135
CGG_2_107753.SG	575
CGG_2_107754.SG	143
CGG_2_107754.SG	139
CGG_2_107754.SG	125
CGG_2_107755.SG	-74
CGG_2_107755.SG	70
CGG_2_107755.SG	229
CGG_2_107756.SG	128
CGG_2_107756.SG	38
CGG_2_107756.SG	218
CGG_2_107757.SG	183
CGG_2_107757.SG	492
CGG_2_107757.SG	435
CGG_2_107758.SG	392
CGG_2_107758.SG	355
CGG_2_107758.SG	178
CGG_2_107759.SG	350
CGG_2_107759.SG	223
CGG_2_107759.SG	291
CGG_2_107760.SG	176
CGG_2_107760.SG	-11
CGG_2_107760.SG	84
CGG_2_107761.SG	149
CGG_2_107761.SG	22
CGG_2_107761.SG	-85
CGG_2_107762.SG	171
CGG_2_107762.SG	598
CGG_2_107762.SG	305
CGG_2_107763.SG	306
CGG_2_107763.SG	368
CGG_2_107763.SG	142
CGG_2_107764.SG	268
CGG_2_107764.SG	338
CGG_2_107764.SG	314
CGG_2_107765.SG	-47
CGG_2_107765.SG	96
CGG_2_107765.SG	57
CGG_2_107766.SG	389
CGG_2_107766.SG	201
CGG_2_107766.SG	187
CGG_2_107767.SG	102
CGG_2_107767.SG	74
CGG_2_107767.SG	142
CGG_2_107768.SG	207
CGG_2_107768.SG	113
CGG_2_107768.SG	-39
CpM0203.SG	744
CpM0203.SG	660
CpM0203.SG	696
CpM0506.SG	696
CpM0506.SG	708
CpM0506.SG	697
CpM11.SG	677
CpM11.SG	701
CpM11.SG	672
CpM12.SG	644
CpM12.SG	487
CpM12.SG	595
CpM13.SG	481
CpM13.SG	485
CpM13.SG	495
CpM34.SG	544
CpM34.SG	597
CpM34.SG	596
CpM4243.SG	511
CpM4243.SG	558
CpM4243.SG	545
ERI002.AG	1665
ERI002.AG	1714
